Year,Survey Country,NPFMC Sablefish Mgmt Area ID,NPFMC Sablefish Management Area,Species Code,Common Name,CPUE,RPN,RPW
1995,United States,2,Bering Sea,20510,"""Sablefish""",,,
1995,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",9.21545399694728,165046.559030703,595902.618461699
1995,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",9.68827452304258,103310.164947862,388858.012782072
1995,United States,6,West Yakutat,20510,"""Sablefish""",10.1524567471224,58701.5049118615,245074.791348622
1995,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",6.83114265559655,62484.4618707417,198247.511255104
1994,Japan,1,Aleutians,20510,"""Sablefish""",1.35,54000,185000
1994,Japan,2,Bering Sea,20510,"""Sablefish""",1.35,38000,117000
1994,Japan,3,Central Gulf of Alaska,20510,"""Sablefish""",6.3,112000,395000
1994,Japan,4,East Yakutat/Southeast,20510,"""Sablefish""",5.4,56000,220000
1994,Japan,6,West Yakutat,20510,"""Sablefish""",8.1,46000,193000
1994,Japan,7,Western Gulf of Alaska,20510,"""Sablefish""",6.75,60000,177000
1994,United States,1,Aleutians,20510,"""Sablefish""",,,
1994,United States,2,Bering Sea,20510,"""Sablefish""",,,
1994,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",8.68917408657738,154307.792021171,603940.270174158
1994,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",10.0657881435742,103435.057398933,431661.181471951
1993,Japan,1,Aleutians,20510,"""Sablefish""",1.35,66000,177000
1993,Japan,2,Bering Sea,20510,"""Sablefish""",0.45,12000,34000
1993,Japan,3,Central Gulf of Alaska,20510,"""Sablefish""",7.2,128000,433000
1993,Japan,4,East Yakutat/Southeast,20510,"""Sablefish""",6.75,72000,272000
1993,Japan,6,West Yakutat,20510,"""Sablefish""",9.9,57000,226000
1993,Japan,7,Western Gulf of Alaska,20510,"""Sablefish""",6.3,60000,176000
1993,United States,1,Aleutians,20510,"""Sablefish""",,,
